entry_id,entrytag_123,entrytag_14,entrytag_14828,entrytag_18,entrytag_24,entrytag_38,entrytag_508,entrytag_510,entrytag_9,entrytag_905,region_africa,region_central_eurasia,region_east_asia,region_europe,region_north_america,region_oceania_australia,region_south_america,region_south_asia,region_southeast_asia,region_southwest_asia,year_from,year_to,Q_2265,Q_2300,Q_2322,Q_2347,Q_2841,Q_2862,Q_2876,Q_2890,Q_2919,Q_3144,Q_3145,Q_3153,Q_3166,Q_3169,Q_3420
857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1738,2020,,0.0,,1.0,1.0,0.0,,,1.0,0.0,,0.0,0.0,,1.0
860,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1704,2020,,0.0,,0.0,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0
862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1907,2020,,0.0,,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0
871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1848,2020,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0
873,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1962,1993,0.0,0.0,0.0,1.0,,0.0,0.0,,,0.0,0.0,,,,1.0
877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1989,2022,,0.0,,1.0,,,,0.0,,0.0,,0.0,,1.0,0.0
879,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1860,2020,0.0,0.0,0.0,1.0,,,0.0,,,0.0,,0.0,,,1.0
882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-450,425,,0.0,0.0,1.0,1.0,,1.0,0.0,,0.0,,0.0,,0.0,0.0
884,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1907,2022,0.0,1.0,,1.0,,0.0,,1.0,1.0,,,1.0,,0.0,1.0
886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,2020,0.0,0.0,,1.0,,,1.0,,,0.0,1.0,,0.0,0.0,1.0
887,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990,2020,,0.0,,0.0,,,,1.0,1.0,,1.0,,,0.0,1.0
891,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1956,2020,1.0,0.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,0.0,1.0,1.0
892,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1960,2020,,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,1.0
894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1968,2020,0.0,1.0,,1.0,,,0.0,1.0,,0.0,,,0.0,,1.0
899,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1926,2020,,1.0,,1.0,,,,,1.0,1.0,1.0,,0.0,,1.0
914,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1258,2020,0.0,1.0,,1.0,1.0,,,1.0,,0.0,,0.0,,,1.0
915,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,2020,,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
919,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1995,2020,,1.0,,1.0,,,,1.0,,0.0,0.0,,0.0,0.0,1.0
921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1700,2020,0.0,1.0,,1.0,,,1.0,,,,,0.0,1.0,0.0,1.0
925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220,650,0.0,1.0,,1.0,,0.0,0.0,,,1.0,1.0,,1.0,,1.0
928,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1860,1910,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,,0.0,,,0.0,1.0
931,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580,2020,,1.0,1.0,1.0,,0.0,,1.0,1.0,,,0.0,0.0,,1.0
933,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,144,1000,,0.0,0.0,1.0,1.0,,0.0,1.0,,,0.0,0.0,,,1.0
935,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1910,2020,,0.0,,1.0,,,,,1.0,0.0,0.0,0.0,,0.0,1.0
937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-800,394,1.0,1.0,0.0,1.0,,0.0,,,1.0,,,0.0,0.0,0.0,1.0
938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1600,-1185,1.0,1.0,0.0,0.0,,0.0,,0.0,1.0,,1.0,,,,1.0
942,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1816,2020,,0.0,,1.0,1.0,,0.0,1.0,,,,,0.0,,1.0
943,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1752,2020,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,0.0,,,1.0
944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1620,1700,1.0,1.0,,1.0,1.0,0.0,,,1.0,0.0,,0.0,1.0,0.0,1.0
946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,700,1959,1.0,1.0,,1.0,,,1.0,,0.0,,1.0,0.0,0.0,,1.0
949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1963,2020,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0
950,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1652,2020,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,,1.0
