file,method,missing_type,missing_percent,iter,column,imputer,f1_score,accuracy,mcc
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_3420,xgb,0.9152542372881356,0.8484848484848485,0.375
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2265,xgb,0.8289473684210527,0.7547169811320755,0.4212016084267518
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2300,xgb,0.594059405940594,0.646551724137931,0.2858806124266229
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2322,xgb,0.8104575163398693,0.7456140350877193,0.47427322280718104
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2347,xgb,,0.8333333333333334,
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2841,xgb,0.8530805687203792,0.7479674796747967,0.0748243797671929
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2862,xgb,0.4,0.7525773195876289,0.3904280244553192
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2876,xgb,0.7066666666666667,0.6140350877192983,0.15270823551729354
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2890,xgb,0.9043478260869565,0.8320610687022901,0.23308133976051795
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_2919,xgb,0.9041095890410958,0.8359375,0.39946646694809335
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_3144,xgb,0.34146341463414637,0.773109243697479,0.3282798977711281
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_3145,xgb,0.6268656716417911,0.576271186440678,0.19621556575769933
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_3153,xgb,0.1,0.8512396694214877,0.12796039801923914
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_3166,xgb,0.12903225806451613,0.7652173913043478,0.04825079515304528
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_3169,xgb,0.40816326530612246,0.7642276422764228,0.34133364201588284
NA_MCAR_40_0.csv,xgb,MCAR,40,0,Q_3420,xgb,0.9029126213592233,0.8230088495575221,-0.0584289333810358
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2265,xgb,0.8275862068965517,0.7857142857142857,0.5477225575051662
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2300,xgb,0.6206896551724138,0.6507936507936508,0.3464885969640083
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2322,xgb,0.7887323943661971,0.75,0.537430772925014
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2347,xgb,,0.7931034482758621,
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2841,xgb,0.845360824742268,0.7413793103448276,0.08894639822733467
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2862,xgb,0.5714285714285714,0.7540983606557377,0.42504458996587174
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2876,xgb,0.7835051546391752,0.7162162162162162,0.3960104894667615
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2890,xgb,0.9391304347826087,0.8888888888888888,0.44353276257274366
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_2919,xgb,0.9052631578947369,0.8333333333333334,0.3006232385408722
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_3144,xgb,0.3,0.7586206896551724,0.18162099528238027
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_3145,xgb,0.7352941176470589,0.7,0.4150286783196448
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_3153,xgb,,0.8148148148148148,
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_3166,xgb,0.26666666666666666,0.8166666666666667,0.35308417553504523
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_3169,xgb,0.375,0.8113207547169812,0.2842997073550677
NA_MCAR_20_1.csv,xgb,MCAR,20,1,Q_3420,xgb,0.9345794392523364,0.8813559322033898,0.3180390717330988
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2265,xgb,0.7088607594936709,0.6891891891891891,0.443521280986995
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2300,xgb,,,
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2322,xgb,0.7607361963190185,0.7272727272727273,0.460259285070616
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2347,xgb,0.9105058365758755,0.8402777777777778,0.1794195852180263
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2841,xgb,,,
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2862,xgb,,,
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2876,xgb,0.7419354838709677,0.6666666666666666,0.306163362206457
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2890,xgb,,0.8848484848484849,
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_2919,xgb,0.9256198347107438,0.8676470588235294,0.37738606353195175
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_3144,xgb,0.4383561643835616,0.7172413793103448,0.27001350101258437
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_3145,xgb,0.6179775280898876,0.577639751552795,0.14647302001487042
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_3153,xgb,0.3225806451612903,0.8627450980392157,0.36607142857142855
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_3166,xgb,0.07142857142857142,0.825503355704698,0.17472987875727075
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_3169,xgb,0.27906976744186046,0.7847222222222222,0.24102961025701003
NA_MAR_40_1.csv,xgb,MAR,40,1,Q_3420,xgb,0.9230769230769231,0.8623188405797102,0.4225771273642583
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2265,xgb,0.8198757763975155,0.7478260869565218,0.46513416105287214
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2300,xgb,0.7252747252747253,0.7422680412371134,0.48271486432334376
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2322,xgb,0.752,0.7232142857142857,0.4531999976498594
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2347,xgb,0.8910891089108911,0.8053097345132744,-0.005452418975202468
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2841,xgb,0.9154228855721394,0.8482142857142857,0.35581667272228257
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2862,xgb,,,
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2876,xgb,0.7651006711409396,0.6698113207547169,0.21634209096943452
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2890,xgb,,,
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_2919,xgb,0.9435897435897436,0.8952380952380953,0.2568367324761253
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_3144,xgb,0.5333333333333333,0.7383177570093458,0.36825466495054715
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_3145,xgb,0.6722689075630253,0.6666666666666666,0.3340159226742511
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_3153,xgb,,,
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_3166,xgb,0.20689655172413793,0.8083333333333333,0.30447030992404917
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_3169,xgb,0.43243243243243246,0.8018867924528302,0.33544772314619464
NA_MAR_30_0.csv,xgb,MAR,30,0,Q_3420,xgb,0.9197860962566845,0.8660714285714286,0.5430069838858586
