"year_from","year_to","log_area","region_africa","region_central_eurasia","region_east_asia","region_europe","region_north_america","region_oceania_australia","region_south_america","region_south_asia","region_southeast_asia","region_southwest_asia","X4654","X4676","X4729","X4745","X4776","X4780","X4794","X4827","X4954","X5132","X5137","X5196","X5220","X5226"
1915,1945,2.67853223386684,"0","0","0","0","1","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","0","1","0",NA
1866,2019,15.3177953674403,"0","1","1","0","0","0","0","1","1","1","1","0","1","0","1","1","1","1","1",NA,"0","0","0","1"
1869,1895,11.0500912492812,"0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1"
1880,2019,15.3177953674403,"0","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
1912,1937,7.15720192645082,"0","0","0","0","0","1","0","0","0","0","1","1","0","1","1","1","1","1","1","0","0","0","0",NA
550,850,11.8265486674881,"0","0","0","0","0","0","0","1","0","0","1","1","1","1","1",NA,"1",NA,"1","0","0",NA,"1","1"
1845,2018,8.48063815839082,"0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1",NA,"1","0","0","0","0","0","0"
-3000,300,13.2944625817192,"1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1",NA,"1","1","0","0","0","1","1"
1800,2020,11.482034849644,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0"
1850,2020,14.0663401170649,"0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","0","0","0","0",NA,"1"
1920,2020,13.1407745802021,"0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0"
1762,2020,16.7686750481717,"0","1","1","1","1","0","1","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","1",NA
-900,2020,14.9035702760581,"0","0","1","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","1","0"
1945,2020,13.3940499061503,"0","0","1","0","0","0","0","1","1","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1788,1914,13.2066877694804,"0","1","0","1","1","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","0","0","0","0","0"
1073,2020,12.4726151253118,"0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","0",NA,"0","1","1"
1730,2020,16.0843965480174,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
645,696,3.19493254095517,"0","0","1","0","0","0","0","0","0","0","1","1","1",NA,"1","1","1","1","0","0","0","0","0","0"
-200,70,10.3345498519797,"0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0"
1750,1850,10.6324389740661,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1899,2020,15.9218004888555,"0","0","0","0","1","0","0","0","0","0","1","0","1","1","1",NA,"1","1","1",NA,"0","0","1","1"
-400,900,11.2789977663411,"0","0","0","1","0","0","0","0","0","0",NA,"1",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA
1900,2020,11.2570655295097,"0","0","0","0","0","0","0","0","0","1","1","1","1","1","1",NA,"1","1","1","0","0","0","0","0"
1738,2020,17.5063406993455,"1","0","1","1","1","1","1","1","1","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
135,400,14.5997498418446,"1","0","0","1","1","0","0","0","0","1","1","0",NA,"0","1","1","0","1","1","0","0","0","0","0"
1704,1706,14.4818419291688,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0"
1907,2020,9.50486014833736,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","0","0","0","0","0","0"
1200,1500,14.641949401303,"0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","0","0","0","0","1","0"
1990,2020,14.280894438267,"0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1",NA,"0","0","0","1",NA
