entry_id,year_from,year_to,region_africa,region_central_eurasia,region_east_asia,region_europe,region_north_america,region_oceania_australia,region_south_america,region_south_asia,region_southeast_asia,region_southwest_asia,entrytag_9,entrytag_14,entrytag_18,entrytag_24,entrytag_38,entrytag_123,entrytag_508,entrytag_510,entrytag_905,entrytag_14828
488,1750,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
489,1750,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,1260,1302,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
491,1530,2017,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
492,-800,380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,1858,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
494,1800,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
495,1499,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
496,1791,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,1890,1970,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
498,1700,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
499,1700,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500,700,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
501,1800,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
502,1700,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
503,1700,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
509,1700,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
510,1830,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
511,1700,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
512,1700,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
513,1750,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
514,1800,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
515,1775,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
516,1750,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
517,1750,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
518,1800,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
519,1600,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
520,1600,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
522,1500,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
524,1600,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
525,1951,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
526,1900,2018,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
528,1771,1980,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
529,1741,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
530,1830,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
531,1641,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,1650,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,1263,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,-42,518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,200,1200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
536,947,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
537,1550,1970,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
538,1526,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,1880,1988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,1606,1980,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,1900,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,1884,1975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,1884,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,1900,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,1938,1990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
