Type,Percent,Iter,Method,var_x,var_y,corr_complete,corr_imputed
MAR,10,1,missForest,X4776,X5226,-0.011809596141917369,0.003043206482644936
MAR,10,1,missForest,X4780,X4794,0.03309907911159734,0.06631655099504308
MAR,10,1,missForest,X4780,X4828,0.11338773642554473,0.1395276299040594
MAR,10,1,missForest,X4780,X4954,0.11937327817625405,0.15781167036375052
MAR,10,1,missForest,X4780,X5196,0.0075137545420497776,-0.008400158891896254
MAR,10,1,missForest,X4780,X5220,0.08540252551527888,0.07381878855044438
MAR,10,1,missForest,X4780,X5226,0.08365805205931719,0.09021402039947882
MAR,10,1,missForest,X4794,X4828,-0.10340253000749859,-0.10965310518794938
MAR,10,1,missForest,X4794,X4954,0.023889661829999725,0.049098841147003115
MAR,10,1,missForest,X4794,X5196,0.07804819248859426,0.09286935234590452
MAR,10,1,missForest,X4794,X5220,0.22125520449865627,0.21583942961701863
MAR,10,1,missForest,X4794,X5226,0.293182992258981,0.3259305167043841
MAR,10,1,missForest,X4828,X4954,0.0898312082395111,0.1423989743030197
MAR,10,1,missForest,X4828,X5196,0.0867489979267865,0.09255238689977553
MAR,10,1,missForest,X4828,X5220,-0.08470571522883175,-0.1288175539159449
MAR,10,1,missForest,X4828,X5226,0.005257824127121005,-0.02600048045131323
MAR,10,1,missForest,X4954,X5196,0.05668076556096307,0.04820604822987019
MAR,10,1,missForest,X4954,X5220,0.01332638833778191,0.018248725318947775
MAR,10,1,missForest,X4954,X5226,0.009115046960387117,0.06176476670290014
MAR,10,1,missForest,X5196,X5220,0.010876706757180532,-0.021878443847907207
MAR,10,1,missForest,X5196,X5226,0.19674565372836075,0.23874318907323805
MAR,10,1,missForest,X5220,X5226,0.22752331878378967,0.19519977233871186
MAR,10,1,mice,X4676,X4729,-0.13458643807329113,-0.15163670563638332
MAR,10,1,mice,X4676,X4745,0.28750101650468146,0.24446380512767082
MAR,10,1,mice,X4676,X4776,-0.13607275948655725,-0.15619475157513185
MAR,10,1,mice,X4676,X4780,0.03227066473069483,0.049043848107358
MAR,10,1,mice,X4676,X4794,0.28726106556196107,0.23790246551997415
MAR,10,1,mice,X4676,X4828,-0.05016493268689705,-0.048548534576875135
MAR,10,1,mice,X4676,X4954,-0.07620521767690396,-0.0969181944388982
MAR,10,1,mice,X4676,X5196,0.14065543365021957,0.15122848068780803
MAR,10,1,mice,X4676,X5220,0.1580721727478751,0.15959118709047698
MAR,10,1,mice,X4676,X5226,0.31866359788405507,0.2977723319614115
MAR,10,1,mice,X4729,X4745,0.1877755227700502,0.16917381858636388
MAR,10,1,mice,X4729,X4776,-0.039420938985009576,-0.05498384705447175
MAR,10,1,mice,X4729,X4780,-0.07511823494614298,-0.07351382083720309
MAR,10,1,mice,X4729,X4794,-0.019198646680501544,0.0466696625116205
MAR,10,1,mice,X4729,X4828,0.2593770060105025,0.21944208197221637
MAR,10,1,mice,X4729,X4954,0.03339604365470998,0.011757816914576601
MAR,10,1,mice,X4729,X5196,0.08442936399243549,0.041754162160074826
MAR,10,1,mice,X4729,X5220,0.11297776096650695,0.03715097121803737
MAR,10,1,mice,X4729,X5226,-0.14181228161804507,-0.14551016944003958
MAR,10,1,mice,X4745,X4776,-0.04755867404892234,-0.0739773996449837
MAR,10,1,mice,X4745,X4780,0.022871412401678868,0.03243835670546246
MAR,10,1,mice,X4745,X4794,0.32942204912556916,0.2853815160545618
MAR,10,1,mice,X4745,X4828,-0.03625601174099287,-0.062375129360674374
MAR,10,1,mice,X4745,X4954,0.05991069443423865,0.01251970373453837
MAR,10,1,mice,X4745,X5196,0.18851541041753805,0.1380383220452942
MAR,10,1,mice,X4745,X5220,0.2053009022573063,0.21018586823842123
MAR,10,1,mice,X4745,X5226,0.17814625364561698,0.14677315857794104
MAR,10,1,mice,X4776,X4780,0.20718306749297075,0.20927429777045528
MAR,10,1,mice,X4776,X4794,0.04744317966081159,0.02404635618315334
MAR,10,1,mice,X4776,X4828,0.0268928604497047,0.022543964246961434
MAR,10,1,mice,X4776,X4954,0.17110590491418556,0.1784144815854863
MAR,10,1,mice,X4776,X5196,0.010769979595619854,0.0156828581372254
MAR,10,1,mice,X4776,X5220,-0.035363841004637166,-0.0685078122657784
MAR,10,1,mice,X4776,X5226,-0.011809596141917369,-0.03057517754870377
MAR,10,1,mice,X4780,X4794,0.03309907911159734,0.08713517920338676
MAR,10,1,mice,X4780,X4828,0.11338773642554473,0.10772447685710893
MAR,10,1,mice,X4780,X4954,0.11937327817625405,0.1310020562657172
MAR,10,1,mice,X4780,X5196,0.0075137545420497776,-0.06088813758903132
MAR,10,1,mice,X4780,X5220,0.08540252551527888,0.084487491105712
MAR,10,1,mice,X4780,X5226,0.08365805205931719,0.06674471123476383
MAR,10,1,mice,X4794,X4828,-0.10340253000749859,-0.07573340488905678
MAR,10,1,mice,X4794,X4954,0.023889661829999725,0.006950911357947035
MAR,10,1,mice,X4794,X5196,0.07804819248859426,0.12630268524670044
MAR,10,1,mice,X4794,X5220,0.22125520449865627,0.2223192680450827
MAR,10,1,mice,X4794,X5226,0.293182992258981,0.2865899999988221
MAR,10,1,mice,X4828,X4954,0.0898312082395111,0.07441337571634951
MAR,10,1,mice,X4828,X5196,0.0867489979267865,0.041628692771267566
MAR,10,1,mice,X4828,X5220,-0.08470571522883175,-0.19569632616748214
MAR,10,1,mice,X4828,X5226,0.005257824127121005,-0.0343722473252333
MAR,10,1,mice,X4954,X5196,0.05668076556096307,0.031600002528000354
MAR,10,1,mice,X4954,X5220,0.01332638833778191,0.021430487426449527
MAR,10,1,mice,X4954,X5226,0.009115046960387117,-0.0010152594039604908
MAR,10,1,mice,X5196,X5220,0.010876706757180532,0.06729911580224814
MAR,10,1,mice,X5196,X5226,0.19674565372836075,0.21978120157958286
MAR,10,1,mice,X5220,X5226,0.22752331878378967,0.1836034358396475
MAR,10,1,miceCART,X4676,X4729,-0.13458643807329113,-0.11461731753450931
MAR,10,1,miceCART,X4676,X4745,0.28750101650468146,0.32104147581288933
MAR,10,1,miceCART,X4676,X4776,-0.13607275948655725,-0.0974916419004774
MAR,10,1,miceCART,X4676,X4780,0.03227066473069483,0.010604075266455818
MAR,10,1,miceCART,X4676,X4794,0.28726106556196107,0.2379024655199745
MAR,10,1,miceCART,X4676,X4828,-0.05016493268689705,-0.02933021006940524
MAR,10,1,miceCART,X4676,X4954,-0.07620521767690396,-0.09466961926842206
MAR,10,1,miceCART,X4676,X5196,0.14065543365021957,0.12284218503063687
MAR,10,1,miceCART,X4676,X5220,0.1580721727478751,0.09078575965875665
MAR,10,1,miceCART,X4676,X5226,0.31866359788405507,0.34460838688686735
MAR,10,1,miceCART,X4729,X4745,0.1877755227700502,0.15892332897570158
MAR,10,1,miceCART,X4729,X4776,-0.039420938985009576,-0.041166055326925445
MAR,10,1,miceCART,X4729,X4780,-0.07511823494614298,-0.06930788073940075
MAR,10,1,miceCART,X4729,X4794,-0.019198646680501544,-0.013672178108683753
MAR,10,1,miceCART,X4729,X4828,0.2593770060105025,0.24633654221220727
MAR,10,1,miceCART,X4729,X4954,0.03339604365470998,0.046121763317163916
MAR,10,1,miceCART,X4729,X5196,0.08442936399243549,0.07656784287629372
MAR,10,1,miceCART,X4729,X5220,0.11297776096650695,0.178662562909748
MAR,10,1,miceCART,X4729,X5226,-0.14181228161804507,-0.11275945528210186
MAR,10,1,miceCART,X4745,X4776,-0.04755867404892234,-0.009621843191801012
MAR,10,1,miceCART,X4745,X4780,0.022871412401678868,0.03527877171057654
MAR,10,1,miceCART,X4745,X4794,0.32942204912556916,0.287240277858416
MAR,10,1,miceCART,X4745,X4828,-0.03625601174099287,-0.00794760106542925
MAR,10,1,miceCART,X4745,X4954,0.05991069443423865,0.02389738822104999
MAR,10,1,miceCART,X4745,X5196,0.18851541041753805,0.13764426635106733
MAR,10,1,miceCART,X4745,X5220,0.2053009022573063,0.13989810056378946
MAR,10,1,miceCART,X4745,X5226,0.17814625364561698,0.1501361357918387
MAR,10,1,miceCART,X4776,X4780,0.20718306749297075,0.21632447226681079
MAR,10,1,miceCART,X4776,X4794,0.04744317966081159,0.06044335526727499
MAR,10,1,miceCART,X4776,X4828,0.0268928604497047,0.03526411174674413
MAR,10,1,miceCART,X4776,X4954,0.17110590491418556,0.1169509764529682
MAR,10,1,miceCART,X4776,X5196,0.010769979595619854,0.05179811384335402
MAR,10,1,miceCART,X4776,X5220,-0.035363841004637166,-0.029667474386268267
MAR,10,1,miceCART,X4776,X5226,-0.011809596141917369,0.004949429060959782
MAR,10,1,miceCART,X4780,X4794,0.03309907911159734,0.04702533480817678
MAR,10,1,miceCART,X4780,X4828,0.11338773642554473,0.11266102567997605
MAR,10,1,miceCART,X4780,X4954,0.11937327817625405,0.12706788726060317
MAR,10,1,miceCART,X4780,X5196,0.0075137545420497776,-0.0006697171059451667
MAR,10,1,miceCART,X4780,X5220,0.08540252551527888,0.032855965441418056
MAR,10,1,miceCART,X4780,X5226,0.08365805205931719,0.06674471123476387
