Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
X5132,missForest,MNAR,50,7,0.2211629342323457,4.891304347826087,0.9510869565217391,0.0,0.0,0.0,0.0
X5137,missForest,MNAR,50,7,0.1294595556006309,1.675977653631285,0.9832402234636871,0.0,0.0,0.0,0.0
X5196,missForest,MNAR,50,7,0.4789694820193478,11.176470588235295,0.7705882352941177,0.16666666666666666,0.06451612903225806,0.09302325581395349,-0.011195476038489608
X5220,missForest,MNAR,50,7,0.5509731650193397,4.166666666666666,0.6964285714285714,0.47619047619047616,0.40816326530612246,0.43956043956043955,0.2343848549253408
X5226,missForest,MNAR,50,7,0.6604318380922876,15.957446808510639,0.5638297872340425,0.75,0.582089552238806,0.6554621848739495,0.09156421733648853
X4654,missForest,MNAR,50,8,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,missForest,MNAR,50,8,0.5417363388859614,7.608695652173914,0.7065217391304348,0.7142857142857143,0.8095238095238095,0.7589285714285714,0.3926289291915804
X4729,missForest,MNAR,50,8,0.3689101171779015,0.591715976331361,0.863905325443787,0.9241379310344827,0.9178082191780822,0.9209621993127147,0.4317739031674922
X4745,missForest,MNAR,50,8,0.5207556439232954,7.909604519774012,0.7288135593220338,0.7737226277372263,0.8617886178861789,0.8153846153846154,0.3167531716595345
X4776,missForest,MNAR,50,8,0.24188972342344836,0.5319148936170213,0.9414893617021277,0.9723756906077348,0.967032967032967,0.9696969696969698,0.12412327591723091
X4780,missForest,MNAR,50,8,0.10846522890932808,0.0,0.9882352941176471,0.9940828402366864,0.9940828402366864,0.9940828402366864,-0.005917159763313609
X4794,missForest,MNAR,50,8,0.5212860351426869,6.521739130434782,0.7282608695652174,0.8467741935483871,0.7720588235294118,0.8076923076923077,0.35241291990857887
X4827,missForest,MNAR,50,8,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,missForest,MNAR,50,8,0.4800548665487304,9.876543209876543,0.7695473251028807,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.2870648797603106
X4954,missForest,MNAR,50,8,0.465985898008574,3.428571428571429,0.7828571428571428,0.891156462585034,0.8562091503267973,0.8733333333333333,0.11659904427030647
X5132,missForest,MNAR,50,8,0.19886684640449764,3.954802259887006,0.96045197740113,0.0,0.0,0.0,0.0
X5137,missForest,MNAR,50,8,0.13957263155977062,1.948051948051948,0.9805194805194806,0.0,0.0,0.0,0.0
X5196,missForest,MNAR,50,8,0.427617987059879,11.428571428571429,0.8171428571428572,0.5,0.1875,0.2727272727272727,0.22261108995311654
X5220,missForest,MNAR,50,8,0.6129621059678985,7.514450867052023,0.6242774566473989,0.3333333333333333,0.25,0.28571428571428575,0.038540133440522185
X5226,missForest,MNAR,50,8,0.5987408170800917,8.176100628930817,0.6415094339622641,0.7821782178217822,0.6929824561403509,0.7348837209302326,0.19099118154827105
X4654,missForest,MNAR,50,9,0.0778498944161523,0.6060606060606061,0.9939393939393939,0.9939393939393939,1.0,0.9969604863221885,0.0
X4676,missForest,MNAR,50,9,0.5167644091319124,0.5681818181818182,0.7329545454545454,0.7757009345794392,0.7830188679245284,0.7793427230046949,0.4412632847613851
X4729,missForest,MNAR,50,9,0.4071189707611169,6.629834254143646,0.8342541436464088,0.9379310344827586,0.8662420382165605,0.9006622516556292,0.41736470557481314
X4745,missForest,MNAR,50,9,0.6030226891555273,15.909090909090908,0.6363636363636364,0.8333333333333334,0.6617647058823529,0.7377049180327869,0.18225803982152552
X4776,missForest,MNAR,50,9,0.22677868380553634,1.7142857142857144,0.9485714285714286,0.9649122807017544,0.9821428571428571,0.9734513274336283,0.16390251702679645
X4780,missForest,MNAR,50,9,0.12909944487358055,0.5555555555555556,0.9833333333333333,0.9888268156424581,0.9943820224719101,0.9915966386554622,-0.00792279613759409
X4794,missForest,MNAR,50,9,0.5992628989846173,21.54696132596685,0.6408839779005525,0.8686868686868687,0.6231884057971014,0.7257383966244726,0.2743270602795022
X4827,missForest,MNAR,50,9,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,missForest,MNAR,50,9,0.47380354147934284,11.020408163265307,0.7755102040816326,0.9230769230769231,0.8038277511961722,0.8593350383631713,0.33612633224209804
X4954,missForest,MNAR,50,9,0.5790165071972788,12.716763005780345,0.6647398843930635,0.8625954198473282,0.738562091503268,0.7957746478873239,-0.1203943046223266
X5132,missForest,MNAR,50,9,0.18786728732554484,3.5294117647058822,0.9647058823529412,0.0,0.0,0.0,0.0
X5137,missForest,MNAR,50,9,0.14865882924943327,2.209944751381215,0.9779005524861878,0.0,0.0,0.0,0.0
X5196,missForest,MNAR,50,9,0.4142434467026541,13.609467455621301,0.8284023668639053,0.7272727272727273,0.23529411764705882,0.3555555555555555,0.3462642266921364
X5220,missForest,MNAR,50,9,0.5267415375673765,10.404624277456648,0.7225433526011561,0.5161290322580645,0.32653061224489793,0.4,0.24150634021026834
X5226,missForest,MNAR,50,9,0.5758044825624732,11.76470588235294,0.6684491978609626,0.801980198019802,0.6585365853658537,0.7232142857142858,0.3294235537967207
X4654,missForest,MNAR,50,10,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,missForest,MNAR,50,10,0.5789881455844089,10.795454545454545,0.6647727272727273,0.7894736842105263,0.6578947368421053,0.7177033492822966,0.32136291899169556
X4729,missForest,MNAR,50,10,0.4094687664018864,5.9880239520958085,0.8323353293413174,0.9333333333333333,0.8689655172413793,0.9,0.3951781273692879
X4745,missForest,MNAR,50,10,0.544140961033867,6.145251396648044,0.7039106145251397,0.8292682926829268,0.7611940298507462,0.7937743190661477,0.27557368021123385
X4776,missForest,MNAR,50,10,0.2,1.7142857142857144,0.96,0.9881656804733728,0.9709302325581395,0.9794721407624634,0.21704801785820296
X4780,missForest,MNAR,50,10,0.07372097807744857,0.5434782608695652,0.9945652173913043,1.0,0.9945652173913043,0.9972752043596731,
X4794,missForest,MNAR,50,10,0.5138530371810842,1.6853932584269662,0.7359550561797753,0.819672131147541,0.8,0.8097165991902835,0.3790297598279402
X4827,missForest,MNAR,50,10,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,missForest,MNAR,50,10,0.44345543143056887,2.928870292887029,0.803347280334728,0.8969072164948454,0.8656716417910447,0.8810126582278481,0.31742274888984146
X4954,missForest,MNAR,50,10,0.48741056694893337,3.867403314917127,0.7624309392265194,0.88,0.8407643312101911,0.8599348534201954,0.0817041624791966
X5132,missForest,MNAR,50,10,0.20786985482077452,4.320987654320987,0.9567901234567902,0.0,0.0,0.0,0.0
X5137,missForest,MNAR,50,10,0.17355253362515582,3.0120481927710845,0.9698795180722891,0.0,0.0,0.0,0.0
X5196,missForest,MNAR,50,10,0.41053541362798,13.48314606741573,0.8314606741573034,0.7272727272727273,0.22857142857142856,0.34782608695652173,0.3426564636623019
X5220,missForest,MNAR,50,10,0.5352726911888783,12.921348314606742,0.7134831460674157,0.44,0.22916666666666666,0.3013698630136986,0.1551533621242161
X5226,missForest,MNAR,50,10,0.5837654690927067,1.675977653631285,0.659217877094972,0.7433628318584071,0.7241379310344828,0.7336244541484715,0.2611539329883074
X4654,mode,MAR,10,1,0.1543033499620919,2.380952380952381,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.0
X4676,mode,MAR,10,1,0.3922322702763681,15.384615384615385,0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,0.0
X4729,mode,MAR,10,1,0.4605661864718383,21.21212121212121,0.7878787878787878,0.7878787878787878,1.0,0.8813559322033898,0.0
X4745,mode,MAR,10,1,0.3481553119113957,12.121212121212121,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0
X4776,mode,MAR,10,1,0.17407765595569785,3.0303030303030303,0.9696969696969697,0.9696969696969697,1.0,0.9846153846153847,0.0
X4780,mode,MAR,10,1,0.24253562503633297,5.88235294117647,0.9411764705882353,0.9411764705882353,1.0,0.9696969696969697,0.0
X4794,mode,MAR,10,1,0.4605661864718383,21.21212121212121,0.7878787878787878,0.7878787878787878,1.0,0.8813559322033898,0.0
X4827,mode,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,mode,MAR,10,1,0.3779644730092272,14.285714285714285,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.0
X4954,mode,MAR,10,1,0.3592106040535498,12.903225806451612,0.8709677419354839,0.8709677419354839,1.0,0.9310344827586207,0.0
X5132,mode,MAR,10,1,0.15075567228888181,2.272727272727273,0.9772727272727273,0.0,0.0,0.0,0.0
X5137,mode,MAR,10,1,0.27386127875258304,7.5,0.925,0.0,0.0,0.0,0.0
X5196,mode,MAR,10,1,0.42919753763947605,18.421052631578945,0.8157894736842105,0.0,0.0,0.0,0.0
X5220,mode,MAR,10,1,0.5423261445466404,29.411764705882355,0.7058823529411765,0.0,0.0,0.0,0.0
X5226,mode,MAR,10,1,0.5452497568062706,29.72972972972973,0.7027027027027027,0.7027027027027027,1.0,0.8253968253968255,0.0
X4654,mode,MAR,10,2,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,mode,MAR,10,2,0.5773502691896257,33.33333333333333,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0
X4729,mode,MAR,10,2,0.5144957554275266,26.47058823529412,0.7352941176470589,0.7352941176470589,1.0,0.8474576271186441,0.0
X4745,mode,MAR,10,2,0.5705974021574557,32.55813953488372,0.6744186046511628,0.6744186046511628,1.0,0.8055555555555556,0.0
X4776,mode,MAR,10,2,0.18257418583505536,3.3333333333333335,0.9666666666666667,0.9666666666666667,1.0,0.983050847457627,0.0
