Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
Q_2841,xgb,MCAR,30,0,0.42769946138415077,8.536585365853659,0.8170731707317073,0.8428571428571429,0.9365079365079365,0.8872180451127819,0.4268320779734421
Q_2868,xgb,MCAR,30,0,0.24743582965269675,2.0408163265306123,0.9387755102040817,0.9787234042553191,0.9583333333333334,0.968421052631579,-0.029774566708770683
Q_2876,xgb,MCAR,30,0,0.4472135954999579,15.0,0.8,0.7666666666666667,0.9583333333333334,0.8518518518518519,0.5892556509887896
Q_2890,xgb,MCAR,30,0,0.46017899330842227,9.411764705882353,0.788235294117647,0.8333333333333334,0.9285714285714286,0.8783783783783784,0.08584645893961879
Q_2919,xgb,MCAR,30,0,0.4685212856658182,7.317073170731707,0.7804878048780488,0.8285714285714286,0.90625,0.8656716417910447,0.2805712709727033
Q_3089,xgb,MCAR,30,0,0.0944911182523068,0.8928571428571428,0.9910714285714286,0.0,0.0,0.0,0.0
Q_3144,xgb,MCAR,30,0,0.512989176042577,9.473684210526317,0.7368421052631579,0.4666666666666667,0.2916666666666667,0.358974358974359,0.21329192856707513
Q_3145,xgb,MCAR,30,0,0.5935256753272998,12.5,0.6477272727272727,0.6037735849056604,0.7619047619047619,0.6736842105263158,0.31165671853586935
Q_3153,xgb,MCAR,30,0,0.4016096644512494,1.0752688172043012,0.8387096774193549,0.2222222222222222,0.2,0.21052631578947367,0.12119125674493642
Q_3166,xgb,MCAR,30,0,0.4973045625740722,9.67741935483871,0.7526881720430108,0.36363636363636365,0.2,0.25806451612903225,0.13245363801806334
Q_3169,xgb,MCAR,30,0,0.517147812975281,1.1627906976744187,0.7325581395348837,0.5217391304347826,0.5,0.5106382978723404,0.32689296855372774
Q_2265,xgb,MCAR,30,1,0.4569367667316877,3.296703296703297,0.7912087912087912,0.819672131147541,0.8620689655172413,0.8403361344537815,0.5407344023302483
Q_2300,xgb,MCAR,30,1,0.5857791861290061,10.784313725490197,0.6568627450980392,0.6923076923076923,0.54,0.6067415730337079,0.3181022906910818
Q_2322,xgb,MCAR,30,1,0.5501196042201808,6.578947368421052,0.6973684210526315,0.8,0.72,0.7578947368421053,0.3608921946768315
Q_2347,xgb,MCAR,30,1,0.41702882811414954,13.043478260869565,0.8260869565217391,0.8352941176470589,0.9726027397260274,0.8987341772151899,0.3599573445069121
Q_2841,xgb,MCAR,30,1,0.42919753763947605,13.157894736842104,0.8157894736842105,0.8208955223880597,0.9649122807017544,0.8870967741935484,0.4467188900437789
Q_2868,xgb,MCAR,30,1,0.27386127875258304,0.0,0.925,0.961038961038961,0.961038961038961,0.961038961038961,-0.03896103896103896
Q_2876,xgb,MCAR,30,1,0.5808178695515156,7.228915662650602,0.6626506024096386,0.6851851851851852,0.7708333333333334,0.7254901960784313,0.29531465113229116
Q_2890,xgb,MCAR,30,1,0.46732301954611777,1.1494252873563218,0.7816091954022989,0.8717948717948718,0.8831168831168831,0.8774193548387097,-0.12241329578528218
Q_2919,xgb,MCAR,30,1,0.3333333333333333,8.88888888888889,0.8888888888888888,0.891566265060241,0.9866666666666667,0.9367088607594937,0.5380528418150005
Q_3089,xgb,MCAR,30,1,0.211999576001272,0.0,0.9550561797752809,0.0,0.0,0.0,-0.022988505747126436
Q_3144,xgb,MCAR,30,1,0.4857520521621862,7.865168539325842,0.7640449438202247,0.46153846153846156,0.3,0.36363636363636365,0.23465647764494685
Q_3145,xgb,MCAR,30,1,0.6135719910778964,2.3529411764705883,0.6235294117647059,0.6136363636363636,0.6428571428571429,0.627906976744186,0.24764546736834223
Q_3153,xgb,MCAR,30,1,0.37977726265637496,0.9615384615384616,0.8557692307692307,0.42857142857142855,0.46153846153846156,0.4444444444444444,0.3620300534999659
Q_3166,xgb,MCAR,30,1,0.4472135954999579,5.263157894736842,0.8,0.5,0.3684210526315789,0.42424242424242425,0.31180478223116176
Q_3169,xgb,MCAR,30,1,0.5703518254720301,13.253012048192772,0.6746987951807228,0.42857142857142855,0.24,0.3076923076923077,0.12505157071402687
