bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,imputer_name,avg_f1
True,5.0,0.3,2,5,200,IterativeImputer_RandomForest,0.7257188757040757
True,7.0,sqrt,1,2,20,IterativeImputer_RandomForest,0.7026809947448577
True,7.0,sqrt,1,2,50,IterativeImputer_RandomForest,0.7106055305108605
True,7.0,sqrt,1,2,100,IterativeImputer_RandomForest,0.7076410543894242
True,7.0,sqrt,1,2,200,IterativeImputer_RandomForest,0.7121346804034594
True,7.0,sqrt,1,5,20,IterativeImputer_RandomForest,0.7187938920854495
True,7.0,sqrt,1,5,50,IterativeImputer_RandomForest,0.7234104721124209
True,7.0,sqrt,1,5,100,IterativeImputer_RandomForest,0.7075398259999583
True,7.0,sqrt,1,5,200,IterativeImputer_RandomForest,0.7096128484593396
True,7.0,sqrt,2,2,20,IterativeImputer_RandomForest,0.7198567883080533
True,7.0,sqrt,2,2,50,IterativeImputer_RandomForest,0.7196849404561884
True,7.0,sqrt,2,2,100,IterativeImputer_RandomForest,0.7126530184331181
True,7.0,sqrt,2,2,200,IterativeImputer_RandomForest,0.6892328897701848
True,7.0,sqrt,2,5,20,IterativeImputer_RandomForest,0.7161078519062635
True,7.0,sqrt,2,5,50,IterativeImputer_RandomForest,0.7209930401123533
True,7.0,sqrt,2,5,100,IterativeImputer_RandomForest,0.7097273653239998
True,7.0,sqrt,2,5,200,IterativeImputer_RandomForest,0.7078444311397736
True,7.0,0.3,1,2,20,IterativeImputer_RandomForest,0.716328986781755
True,7.0,0.3,1,2,50,IterativeImputer_RandomForest,0.7216213173194167
True,7.0,0.3,1,2,100,IterativeImputer_RandomForest,0.7131037883372859
True,7.0,0.3,1,2,200,IterativeImputer_RandomForest,0.7182181202748452
True,7.0,0.3,1,5,20,IterativeImputer_RandomForest,0.7065996108881366
True,7.0,0.3,1,5,50,IterativeImputer_RandomForest,0.7200884399872733
True,7.0,0.3,1,5,100,IterativeImputer_RandomForest,0.7118677440969677
True,7.0,0.3,1,5,200,IterativeImputer_RandomForest,0.7144082881757284
True,7.0,0.3,2,2,20,IterativeImputer_RandomForest,0.7192962723188038
True,7.0,0.3,2,2,50,IterativeImputer_RandomForest,0.7044174778466423
True,7.0,0.3,2,2,100,IterativeImputer_RandomForest,0.7202837993977983
True,7.0,0.3,2,2,200,IterativeImputer_RandomForest,0.7139178202048077
True,7.0,0.3,2,5,20,IterativeImputer_RandomForest,0.7054895311292797
True,7.0,0.3,2,5,50,IterativeImputer_RandomForest,0.7058351020788006
True,7.0,0.3,2,5,100,IterativeImputer_RandomForest,0.7246204588392838
True,7.0,0.3,2,5,200,IterativeImputer_RandomForest,0.7103427916395931
